src_id,src_cluster,dst_id,dst_cluster,bucket_id
1,0,2,1,1
5,0,2,1,1
3,0,4,0,1
1,0,2,2,2
5,0,2,2,2
3,0,4,0,2
6,0,7,2,2
8,0,7,2,2
26,0,7,2,2
9,1,10,0,2
9,1,11,0,2
12,0,13,0,2
9,1,14,0,2
9,1,15,0,2
9,1,16,0,2
9,1,17,0,2
19,1,18,0,2
9,1,18,0,2
25,0,21,0,2
20,0,21,0,2
19,1,22,0,2
9,1,22,0,2
8,0,23,2,2
9,1,24,0,2
29,0,25,0,2
27,0,28,0,2
5,0,2,0,3
1,0,2,0,3
3,0,4,0,3
6,0,7,0,3
8,0,7,0,3
26,0,7,0,3
9,1,10,0,3
9,1,11,0,3
12,0,13,0,3
9,1,14,0,3
9,1,15,0,3
9,1,16,0,3
9,1,17,0,3
19,1,18,0,3
9,1,18,0,3
25,0,21,0,3
20,0,21,0,3
19,1,22,0,3
9,1,22,0,3
8,0,23,0,3
9,1,24,0,3
29,0,25,0,3
27,0,28,0,3
30,2,31,2,3
34,0,33,0,3
32,0,33,0,3
34,0,35,0,3
36,0,37,0,3
6,0,7,0,4
8,0,7,0,4
26,0,7,0,4
9,1,10,0,4
41,1,11,0,4
9,1,11,0,4
41,1,13,0,4
12,1,13,0,4
41,1,14,0,4
9,1,14,0,4
41,1,15,0,4
9,1,15,0,4
9,1,16,0,4
9,1,17,0,4
19,1,18,0,4
9,1,18,0,4
25,0,21,0,4
20,0,21,0,4
19,1,22,0,4
9,1,22,0,4
8,0,23,0,4
9,1,24,0,4
29,0,25,0,4
27,0,28,0,4
30,2,31,2,4
34,0,33,0,4
32,0,33,0,4
34,0,35,0,4
36,0,37,0,4
41,1,39,0,4
38,1,39,0,4
36,0,40,0,4
41,1,42,0,4
41,1,43,0,4
41,2,11,0,5
41,2,13,0,5
41,2,14,0,5
44,2,14,0,5
41,2,15,0,5
46,2,22,2,5
30,2,31,2,5
36,1,32,0,5
34,0,33,1,5
32,0,33,1,5
34,0,35,1,5
36,1,37,0,5
41,2,39,0,5
38,1,39,0,5
36,1,40,0,5
9,1,40,0,5
41,2,42,0,5
41,2,43,0,5
44,2,45,2,5
47,2,46,2,5
48,2,46,2,5
44,2,46,2,5
9,1,49,0,5
36,1,50,0,5
62,1,50,0,5
44,2,51,2,5
32,0,52,1,5
53,0,54,0,5
36,1,55,0,5
36,1,56,0,5
56,0,57,1,5
36,1,58,0,5
51,2,58,0,5
32,0,59,2,5
44,2,59,2,5
36,1,60,0,5
56,0,61,1,5
19,0,85,0,6
19,0,64,0,6
19,0,82,0,6
19,0,8,0,6
19,0,72,0,6
19,0,52,0,6
19,0,58,0,6
34,0,58,0,6
71,0,58,0,6
71,0,72,0,6
79,0,70,0,6
79,0,48,0,6
79,0,58,0,6
79,0,63,0,6
36,0,88,0,6
36,0,93,0,6
36,0,89,0,6
36,0,90,0,6
36,0,84,0,6
36,0,56,0,6
36,0,32,0,6
36,0,58,0,6
36,0,60,0,6
36,0,55,0,6
36,0,50,0,6
36,0,40,0,6
51,0,70,0,6
51,0,58,0,6
74,2,73,2,6
90,0,56,0,6
72,0,71,0,6
63,0,79,0,6
70,0,51,0,6
12,0,66,0,6
12,0,32,0,6
9,0,64,0,6
9,0,58,0,6
9,0,76,0,6
9,0,49,0,6
9,0,40,0,6
38,0,58,0,6
38,0,39,0,6
83,0,58,0,6
83,0,59,0,6
94,0,84,0,6
84,0,86,0,6
41,0,80,0,6
41,0,64,0,6
41,0,76,0,6
41,0,78,0,6
41,0,52,0,6
41,0,32,0,6
41,0,61,0,6
41,0,65,0,6
41,0,59,0,6
41,0,81,0,6
41,0,63,0,6
41,0,58,0,6
41,0,56,0,6
41,0,42,0,6
41,0,43,0,6
41,0,39,0,6
41,0,11,0,6
41,0,14,0,6
41,0,15,0,6
41,0,13,0,6
56,0,57,0,6
56,0,61,0,6
47,0,46,0,6
53,1,54,1,6
46,0,22,0,6
48,0,46,0,6
73,2,74,2,6
32,0,77,0,6
32,0,58,0,6
32,0,68,0,6
32,0,52,0,6
32,0,59,0,6
62,0,50,0,6
67,0,59,0,6
67,0,8,0,6
67,0,32,0,6
69,0,67,0,6
69,0,84,0,6
69,0,95,0,6
3,0,84,0,6
44,0,84,0,6
44,0,50,0,6
44,0,75,0,6
44,0,59,0,6
44,0,46,0,6
44,0,14,0,6
44,0,45,0,6
44,0,51,0,6
91,2,92,2,6
86,0,48,0,6
87,0,8,0,6
87,0,63,0,6
68,0,61,0,6
68,0,56,0,6
19,0,85,0,7
19,0,64,0,7
19,0,82,0,7
19,0,8,0,7
19,0,72,0,7
19,0,52,0,7
